RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544859874352	 	3.0.1
USER	XhinLiang random api	1	START	1544859875976	1544859875976
USER	XhinLiang random api	2	START	1544859876012	1544859876012
USER	XhinLiang random api	3	START	1544859876028	1544859876028
USER	XhinLiang random api	4	START	1544859876042	1544859876042
USER	XhinLiang random api	5	START	1544859876045	1544859876045
USER	XhinLiang random api	6	START	1544859876052	1544859876052
USER	XhinLiang random api	7	START	1544859876062	1544859876062
USER	XhinLiang random api	8	START	1544859876069	1544859876069
USER	XhinLiang random api	9	START	1544859876082	1544859876082
USER	XhinLiang random api	10	START	1544859876083	1544859876083
USER	XhinLiang random api	11	START	1544859876092	1544859876092
USER	XhinLiang random api	12	START	1544859876093	1544859876093
USER	XhinLiang random api	13	START	1544859876094	1544859876094
USER	XhinLiang random api	14	START	1544859876096	1544859876096
USER	XhinLiang random api	15	START	1544859876100	1544859876100
USER	XhinLiang random api	16	START	1544859876101	1544859876101
USER	XhinLiang random api	17	START	1544859876102	1544859876102
USER	XhinLiang random api	18	START	1544859876103	1544859876103
REQUEST	4		random	1544859876044	1544859876067	OK	 
REQUEST	2		random	1544859876013	1544859876042	OK	 
REQUEST	3		random	1544859876032	1544859876071	OK	 
REQUEST	1		random	1544859876007	1544859876021	OK	 
REQUEST	8		random	1544859876082	1544859876091	OK	 
REQUEST	15		random	1544859876101	1544859876110	OK	 
REQUEST	5		random	1544859876046	1544859876067	OK	 
USER	XhinLiang random api	19	START	1544859876136	1544859876136
USER	XhinLiang random api	20	START	1544859876145	1544859876145
USER	XhinLiang random api	26	START	1544859876155	1544859876155
REQUEST	7		random	1544859876064	1544859876130	OK	 
USER	XhinLiang random api	27	START	1544859876157	1544859876157
USER	XhinLiang random api	24	START	1544859876148	1544859876148
USER	XhinLiang random api	29	START	1544859876159	1544859876159
USER	XhinLiang random api	30	START	1544859876166	1544859876166
USER	XhinLiang random api	31	START	1544859876171	1544859876171
USER	XhinLiang random api	32	START	1544859876175	1544859876175
USER	XhinLiang random api	25	START	1544859876177	1544859876177
USER	XhinLiang random api	34	START	1544859876178	1544859876178
USER	XhinLiang random api	35	START	1544859876180	1544859876180
USER	XhinLiang random api	36	START	1544859876181	1544859876181
USER	XhinLiang random api	37	START	1544859876182	1544859876182
USER	XhinLiang random api	39	START	1544859876184	1544859876184
USER	XhinLiang random api	33	START	1544859876177	1544859876177
USER	XhinLiang random api	40	START	1544859876185	1544859876185
USER	XhinLiang random api	41	START	1544859876185	1544859876185
USER	XhinLiang random api	42	START	1544859876186	1544859876186
USER	XhinLiang random api	43	START	1544859876186	1544859876186
USER	XhinLiang random api	45	START	1544859876187	1544859876187
USER	XhinLiang random api	38	START	1544859876184	1544859876184
USER	XhinLiang random api	28	START	1544859876158	1544859876158
USER	XhinLiang random api	47	START	1544859876189	1544859876189
USER	XhinLiang random api	48	START	1544859876190	1544859876190
USER	XhinLiang random api	49	START	1544859876191	1544859876191
USER	XhinLiang random api	50	START	1544859876191	1544859876191
USER	XhinLiang random api	51	START	1544859876192	1544859876192
USER	XhinLiang random api	46	START	1544859876188	1544859876188
USER	XhinLiang random api	23	START	1544859876193	1544859876193
USER	XhinLiang random api	44	START	1544859876187	1544859876187
USER	XhinLiang random api	55	START	1544859876197	1544859876197
REQUEST	11		random	1544859876093	1544859876172	OK	 
REQUEST	16		random	1544859876102	1544859876172	OK	 
REQUEST	13		random	1544859876095	1544859876171	OK	 
REQUEST	6		random	1544859876053	1544859876171	OK	 
REQUEST	10		random	1544859876092	1544859876172	OK	 
REQUEST	9		random	1544859876083	1544859876172	OK	 
REQUEST	31		random	1544859876172	1544859876176	OK	 
REQUEST	12		random	1544859876094	1544859876189	OK	 
REQUEST	20		random	1544859876145	1544859876206	OK	 
USER	XhinLiang random api	58	START	1544859876208	1544859876208
USER	XhinLiang random api	60	START	1544859876210	1544859876210
USER	XhinLiang random api	59	START	1544859876209	1544859876209
USER	XhinLiang random api	52	START	1544859876193	1544859876193
USER	XhinLiang random api	62	START	1544859876212	1544859876212
USER	XhinLiang random api	64	START	1544859876213	1544859876213
USER	XhinLiang random api	54	START	1544859876195	1544859876195
USER	XhinLiang random api	63	START	1544859876213	1544859876213
USER	XhinLiang random api	65	START	1544859876214	1544859876214
USER	XhinLiang random api	22	START	1544859876199	1544859876199
USER	XhinLiang random api	61	START	1544859876210	1544859876210
USER	XhinLiang random api	57	START	1544859876199	1544859876199
USER	XhinLiang random api	53	START	1544859876193	1544859876193
USER	XhinLiang random api	72	START	1544859876216	1544859876216
USER	XhinLiang random api	73	START	1544859876220	1544859876220
